region,AE_obs,AOD_obs,precip_obs,MEC_c,tau_c_days,E_c,AOD_homogenized,MEC_intercept_used,ensemble
africa,1.2613197940922365,0.5370108403552286,1.1218230724334717,4867.755070231933,9.126311384672269,1.3990888960478854e-10,True,True,full
amazon,1.174812638831143,0.3591597610044217,1.8618276119232178,5015.460294411169,7.04005091998406,1.1773005162171683e-10,True,True,full
se_asia,1.5115339841807631,0.27113864605665977,7.325290203094482,4634.553727509894,2.6977281526789265,2.5099875957740735e-10,True,True,full
boreal_na,1.253430036353841,0.487445095500638,2.2100629806518555,5770.311403355254,4.776247619227659,2.0470378702974487e-10,True,True,full
eastern_siberia,1.0070890847439522,0.22867762542846665,2.8043532371520996,5570.976910909602,3.58488026820937,1.3252686289072012e-10,True,True,full
africa,1.2481381974892194,0.5153412723601789,1.1218230724334717,4865.3715777069965,9.085233677698401,1.3493638375139426e-10,True,True,paper
amazon,1.1733011449296722,0.3579291179910529,1.8618276119232178,5015.470401415378,7.038411097966913,1.1735375396300173e-10,True,True,paper
se_asia,1.437574477174047,0.2553329711710475,7.325290203094482,4730.8150085060315,2.6780631950564544,2.3325790436560877e-10,True,True,paper
boreal_na,1.2644850254960833,0.46129023042648915,2.2100629806518555,5742.06535253744,4.774687689807597,1.9473652391499714e-10,True,True,paper
eastern_siberia,1.0203838175665572,0.25330380417487525,2.8043532371520996,5550.454960031182,3.6058326924118407,1.4648522243827552e-10,True,True,paper
