region,model,MEC_model,MEC_c,tau_model,tau_c_days,E_model,E_c,AOD_model,AOD_c,dAOD_E,dAOD_tau,dAOD_MEC,dAOD_cross,dAOD_total,pct_E,pct_tau,pct_MEC,pct_cross,ensemble
africa,ECHAM6-HAM2_AP3-CTRL2016-PD,4392.054747464518,4865.3715777069965,,9.085233677698401,3.0261857023150503e-10,1.3493638375139426e-10,0.4946157516931106,0.5153412723601789,0.6404021578939356,,-0.050133827114927705,,-0.020725520667068287,,,,,paper
africa,ECHAM6-SALSA_CTRL2016-PD,4055.3445177912454,4865.3715777069965,,9.085233677698401,3.026186391679796e-10,1.3493638375139426e-10,0.502029906563106,0.5153412723601789,0.6404024211721526,,-0.08579825179557896,,-0.013311365797072927,,,,,paper
africa,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4800.35612447548,4865.3715777069965,7.872071993059278,9.085233677698401,3.302139963393033e-10,1.3493638375139426e-10,0.38072515807769103,0.5153412723601789,0.7457930213982875,-0.06881411181257872,-0.006886451703899259,-0.8047085721642975,-0.13461611428248788,45.861027680461284,4.2315840938361955,0.4234683660897674,49.48391985961276,paper
africa,TM5_AP3-CTRL2016,4885.166879699091,4865.3715777069965,12.459561449700729,9.085233677698401,1.507569677292485e-10,1.3493638375139426e-10,0.2686201000680883,0.5153412723601789,0.060421063985599946,0.1914018317054997,0.0020967229228908368,-0.500640790906081,-0.24672117229209062,8.007452183189677,25.366005066080575,0.2778734341793032,66.34866931655043,paper
africa,INCA_AP3-CTRL,5341.172510469473,4865.3715777069965,6.961219743792608,9.085233677698401,9.964734239124552e-11,1.3493638375139426e-10,0.22598395368386612,0.5153412723601789,-0.134773876172757,-0.12048034008158368,0.05039694382305228,-0.08450004624502438,-0.28935731867631276,34.54401113946092,30.880422289921068,12.917285146468243,21.65828142414978,paper
africa,SPRINTARS-T213_AP3-CTRL2016-PD,4052.7673848182662,4865.3715777069965,14.88590131319492,9.085233677698401,1.927816424061436e-10,1.3493638375139426e-10,0.21568839836197645,0.5153412723601789,0.22091928334217092,0.32903099093127386,-0.0860712223106002,-0.763531925961047,-0.29965287399820245,15.784983965844518,23.509712857757876,6.149906171790102,54.55539700460752,paper
amazon,ECHAM6-HAM2_AP3-CTRL2016-PD,3803.923977093709,5015.470401415378,10.40305741166944,7.038411097966913,2.6124668424791753e-10,1.1735375396300173e-10,0.3860947470116084,0.3579291179910529,0.438873643856894,0.17110465283326004,-0.08646202815598163,-0.49535063951361696,0.02816562902055547,36.82471649654293,14.356934894633971,7.254798093089276,41.563550515733816,paper
amazon,ECHAM6-SALSA_CTRL2016-PD,4221.9865432379775,5015.470401415378,12.165857880501187,7.038411097966913,2.612549852803061e-10,1.1735375396300173e-10,0.4719516102498206,0.3579291179910529,0.43889896201759115,0.26074954686131957,-0.0566269870553769,-0.5289990295647662,0.11402249225876765,34.14826586150324,20.28745934726079,4.405828166040204,41.15844662519576,paper
amazon,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5591.538776527298,5015.470401415378,4.525956893188158,7.038411097966913,2.425219721669222e-10,1.1735375396300173e-10,0.3141654422415659,0.3579291179910529,0.3817632451396952,-0.12776754653747557,0.041111127950861984,-0.3388705023025686,-0.04376367574948703,42.91825900655942,14.36377316239928,4.621759846999575,38.09620798404171,paper
amazon,TM5_AP3-CTRL2016,5410.529384665469,5015.470401415378,8.606075917730422,7.038411097966913,2.0056428129491593e-10,1.1735375396300173e-10,0.37785390384324646,0.3579291179910529,0.25379222777033894,0.0797215278325582,0.028193390073489998,-0.3417823598241936,0.01992478585219354,36.076192435841456,11.332298095311444,4.007648991640391,48.583860477206706,paper
amazon,INCA_AP3-CTRL,5395.389308264308,5015.470401415378,8.855427064207325,7.038411097966913,1.0823836321386886e-10,1.1735375396300173e-10,0.26088393751779987,0.3579291179910529,-0.0278019548655389,0.09240195167911584,0.027112918301379595,-0.1887580955882096,-0.09704518047325306,8.272546737381019,27.49445021357823,8.067522047270552,56.16548100177021,paper
amazon,SPRINTARS-T213_AP3-CTRL2016-PD,4392.27246079282,5015.470401415378,5.289536081068983,7.038411097966913,2.687628364495081e-10,1.1735375396300173e-10,0.28577553246284915,0.3579291179910529,0.4617979188575044,-0.08893673352721328,-0.04447453007756247,-0.4005402407809324,-0.07215358552820378,46.37692054627582,8.931637965457341,4.466437945071201,40.22500354319565,paper
se_asia,ECHAM6-HAM2_AP3-CTRL2016-PD,3745.111869193686,4730.8150085060315,4.975981096216405,2.6780631950564544,9.738808718973928e-11,2.3325790436560877e-10,0.19155386245600708,0.2553329711710475,-0.14872826799303404,0.219089006672204,-0.05320066643923374,-0.0809391809549766,-0.06377910871504039,29.629675814305852,43.64695649168548,10.598647593834325,16.124720100174358,paper
se_asia,ECHAM6-SALSA_CTRL2016-PD,4797.65445188508,4730.8150085060315,5.684245051787727,2.6780631950564544,9.523336066663741e-11,2.3325790436560877e-10,0.2051184593544986,0.2553329711710475,-0.15108691357334555,0.286616591713218,0.003607478550462453,-0.18935166850688379,-0.050214511816548874,23.956851259832586,45.44689473016735,0.5720139819688007,30.024240028031258,paper
se_asia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5672.383271711913,4730.8150085060315,2.6795988554334773,2.6780631950564544,1.3294503960389187e-10,2.3325790436560877e-10,0.1729383284796145,0.2553329711710475,-0.10980627591570277,0.0001464135452437089,0.05081860562555414,-0.02355338594652806,-0.08239464269143298,59.57220449280304,0.07943241481452688,27.570157908721992,12.778205183660448,paper
se_asia,TM5_AP3-CTRL2016,4486.911402052934,4730.8150085060315,2.5568704611200777,2.6780631950564544,8.85713348295579e-11,2.3325790436560877e-10,0.13061804052001286,0.2553329711710475,-0.15837942036159822,-0.011554806061873006,-0.013164038839614207,0.05838333461205081,-0.12471493065103462,65.5865376258448,4.78496335449479,5.451363104443977,24.177135915216436,paper
se_asia,INCA_AP3-CTRL,6045.097298800617,4730.8150085060315,2.4820070945742985,2.6780631950564544,6.328760441539231e-11,2.3325790436560877e-10,0.1548793618777954,0.2553329711710475,-0.18605595302399366,-0.018692459066957542,0.0709348392475782,0.03335996355012097,-0.10045360929325206,60.2038627804951,6.0484935977942484,22.953048580321145,10.794595041389506,paper
se_asia,SPRINTARS-T213_AP3-CTRL2016-PD,6162.745200586627,4730.8150085060315,2.4841767862929287,2.6780631950564544,4.549750586952052e-11,2.3325790436560877e-10,0.2061480122747367,0.2553329711710475,-0.2055296713166154,-0.018485595452213233,0.07728456720376556,0.0975457406687523,-0.049184958896310776,51.531139965996516,4.634775117872629,19.377065239663764,24.457019676467077,paper
boreal_na,ECHAM6-HAM2_AP3-CTRL2016-PD,4408.325715245926,5742.06535253744,3.7245581718224,4.774687689807597,4.721140575810053e-10,1.9473652391499714e-10,0.2620878651518999,0.46129023042648915,0.6570495552019572,-0.10145469584599567,-0.10714630134665169,-0.6476509232838991,-0.19920236527458923,43.4182855010673,6.704195923717545,7.0803011210050935,42.79721745421007,paper
boreal_na,ECHAM6-SALSA_CTRL2016-PD,4393.552105915524,5742.06535253744,3.086495985603428,4.774687689807597,4.72114525102033e-10,1.9473652391499714e-10,0.30967818784427503,0.46129023042648915,0.6570506626618122,-0.1630989063219356,-0.10833314288081161,-0.5372306560412792,-0.1516120425822141,44.82804599105102,11.127612662424289,7.391154727311679,36.65318661921301,paper
boreal_na,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,5079.266230196263,5742.06535253744,4.914559104989495,4.774687689807597,2.573993446470226e-10,1.9473652391499714e-10,0.19265661650410637,0.46129023042648915,0.14843515963788698,0.013513201602079413,-0.053246130285878324,-0.37733584487647087,-0.2686336139223828,25.051064986671438,2.2805923632750904,8.986228554840665,63.6821140952128,paper
boreal_na,TM5_AP3-CTRL2016,5447.510248116997,5742.06535253744,5.859539494725248,4.774687689807597,2.6830631834017377e-10,1.9473652391499714e-10,0.23768387123156856,0.46129023042648915,0.17427150665189411,0.10480927163829254,-0.02366315666040981,-0.47902398082469744,-0.22360635919492058,22.291974783726676,13.406699037316109,3.0268774380364043,61.2744487409208,paper
boreal_na,INCA_AP3-CTRL,5769.533998054711,5742.06535253744,4.909041678758099,4.774687689807597,1.2612332355517647e-10,1.9473652391499714e-10,0.12542445283801384,0.46129023042648915,-0.16253036856145223,0.01298015421071287,0.002206700384307939,-0.18852226362204388,-0.3358657775884753,44.37816631709687,3.5441711446484767,0.6025293459529227,51.47513319230173,paper
