ensemble,region,variable,computed,paper,gap,gap_pct
full,africa,precip,1.1218230724334717,1.1,0.02182307243347159,1.9839156757701444
full,africa,AE,1.2613197940922365,1.4,-0.13868020590776342,-9.905728993411675
full,africa,AOD,0.5370108403552286,0.56,-0.02298915964477144,-4.105207079423471
full,africa,E (10^-11),13.990888960478854,27.9,-13.909111039521145,-49.8534445860973
full,africa,tau,9.126311384672269,4.0,5.1263113846722685,128.1577846168067
full,africa,MEC (m2/g),4.867755070231933,5.9,-1.0322449297680674,-17.495676775729954
full,amazon,precip,1.8618276119232178,1.9,-0.03817238807678214,-2.009073056672744
full,amazon,AE,1.174812638831143,1.4,-0.22518736116885685,-16.084811512061204
full,amazon,AOD,0.3591597610044217,0.4,-0.040840238995578315,-10.210059748894578
full,amazon,E (10^-11),11.773005162171684,18.2,-6.426994837828316,-35.31315844960613
full,amazon,tau,7.04005091998406,4.3,2.7400509199840606,63.722114418233964
full,amazon,MEC (m2/g),5.015460294411169,5.9,-0.8845397055888311,-14.992198399810697
full,se_asia,precip,7.325290203094482,0.8,6.525290203094483,815.6612753868103
full,se_asia,AE,1.5115339841807631,1.2,0.31153398418076317,25.961165348396932
full,se_asia,AOD,0.27113864605665977,0.88,-0.6088613539433403,-69.18879022083412
full,se_asia,E (10^-11),25.099875957740736,47.6,-22.500124042259266,-47.26916815600686
full,se_asia,tau,2.6977281526789265,3.9,-1.2022718473210734,-30.827483264642908
full,se_asia,MEC (m2/g),4.6345537275098945,5.6,-0.9654462724901052,-17.24011200875188
full,boreal_na,precip,2.2100629806518555,1.8,0.4100629806518554,22.781276702880856
full,boreal_na,AE,1.253430036353841,1.3,-0.04656996364615895,-3.582304895858381
full,boreal_na,AOD,0.487445095500638,0.16,0.32744509550063805,204.65318468789877
full,boreal_na,E (10^-11),20.470378702974486,10.3,10.170378702974485,98.74154080557751
full,boreal_na,tau,4.776247619227659,3.0,1.776247619227659,59.20825397425531
full,boreal_na,MEC (m2/g),5.770311403355254,6.0,-0.2296885966447464,-3.82814327741244
full,eastern_siberia,precip,2.8043532371520996,0.6,2.2043532371520995,367.3922061920166
full,eastern_siberia,AE,1.0070890847439522,1.1,-0.09291091525604789,-8.446446841458897
full,eastern_siberia,AOD,0.22867762542846665,0.21,0.018677625428466654,8.894107346888882
full,eastern_siberia,E (10^-11),13.252686289072011,8.3,4.952686289072011,59.67091914544591
full,eastern_siberia,tau,3.58488026820937,4.4,-0.8151197317906305,-18.525448449787056
full,eastern_siberia,MEC (m2/g),5.570976910909603,6.8,-1.229023089090397,-18.073868957211722
paper,africa,precip,1.1218230724334717,1.1,0.02182307243347159,1.9839156757701444
paper,africa,AE,1.2481381974892194,1.4,-0.15186180251078052,-10.847271607912896
paper,africa,AOD,0.5153412723601789,0.56,-0.04465872763982115,-7.974772792825204
paper,africa,E (10^-11),13.493638375139426,27.9,-14.406361624860573,-51.635704748604205
paper,africa,tau,9.085233677698401,4.0,5.085233677698401,127.13084194246002
paper,africa,MEC (m2/g),4.865371577706997,5.9,-1.0346284222930038,-17.536074954118707
paper,amazon,precip,1.8618276119232178,1.9,-0.03817238807678214,-2.009073056672744
paper,amazon,AE,1.1733011449296722,1.4,-0.22669885507032772,-16.19277536216627
paper,amazon,AOD,0.3579291179910529,0.4,-0.0420708820089471,-10.517720502236774
paper,amazon,E (10^-11),11.735375396300173,18.2,-6.464624603699827,-35.5199154049441
paper,amazon,tau,7.038411097966913,4.3,2.738411097966913,63.68397902248635
paper,amazon,MEC (m2/g),5.015470401415378,5.9,-0.8845295985846224,-14.992027094654615
paper,se_asia,precip,7.325290203094482,0.8,6.525290203094483,815.6612753868103
paper,se_asia,AE,1.437574477174047,1.2,0.23757447717404712,19.79787309783726
paper,se_asia,AOD,0.2553329711710475,0.88,-0.6246670288289525,-70.9848896396537
paper,se_asia,E (10^-11),23.325790436560876,47.6,-24.274209563439126,-50.996238578653625
paper,se_asia,tau,2.6780631950564544,3.9,-1.2219368049435455,-31.3317129472704
paper,se_asia,MEC (m2/g),4.730815008506031,5.6,-0.8691849914939684,-15.521160562392293
paper,boreal_na,precip,2.2100629806518555,1.8,0.4100629806518554,22.781276702880856
paper,boreal_na,AE,1.2644850254960833,1.3,-0.03551497450391672,-2.731921115685901
paper,boreal_na,AOD,0.46129023042648915,0.16,0.30129023042648917,188.30639401655574
paper,boreal_na,E (10^-11),19.473652391499712,10.3,9.173652391499711,89.0645863252399
paper,boreal_na,tau,4.774687689807597,3.0,1.774687689807597,59.1562563269199
paper,boreal_na,MEC (m2/g),5.74206535253744,6.0,-0.2579346474625597,-4.298910791042661
paper,eastern_siberia,precip,2.8043532371520996,0.6,2.2043532371520995,367.3922061920166
paper,eastern_siberia,AE,1.0203838175665572,1.1,-0.07961618243344293,-7.237834766676629
paper,eastern_siberia,AOD,0.25330380417487525,0.21,0.043303804174875254,20.620859130892978
paper,eastern_siberia,E (10^-11),14.648522243827552,8.3,6.348522243827551,76.48821980515122
paper,eastern_siberia,tau,3.6058326924118407,4.4,-0.7941673075881597,-18.049256990639993
paper,eastern_siberia,MEC (m2/g),5.550454960031182,6.8,-1.249545039968818,-18.375662352482617
