config,region,MAC_X_COL,INTERCEPT_0,POLDER_HOMOGENIZE,SSA_POLDER_HOMOGENIZE,LIFETIME_MAX,INCLUDE_AMAZON_SOA,mac_r2,mac_n,mac_F,mac_b,MAC_c,AAOD_obs,AAOD_MAE,n_aaod_models
baseline,africa,1-SSA,True,True,True,15.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.07329895258195875,0.03724818183691227,24
baseline,amazon,1-SSA,True,True,True,15.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.028754374385172737,0.014961253626722314,24
baseline,boreal_na_west,1-SSA,True,True,True,15.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.036665849409362135,0.025661092673251007,24
baseline,indonesia_peatland,1-SSA,True,True,True,15.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.033107236200328544,0.022026342161962864,24
MAC_X_COL=SSA,africa,SSA,True,True,True,15.0,True,0.8521266808956692,13,0.8625395785405934,0.0,0.7482846631583571,0.07329895258195875,0.03724818183691227,24
MAC_X_COL=SSA,amazon,SSA,True,True,True,15.0,True,0.8255390137675096,13,0.70882694384053,0.0,0.6529391551351944,0.028754374385172737,0.014961253626722314,24
MAC_X_COL=SSA,boreal_na_west,SSA,True,True,True,15.0,True,0.8423175736061443,13,0.5017447052991667,0.0,0.44678212512842164,0.036665849409362135,0.025661092673251007,24
MAC_X_COL=SSA,indonesia_peatland,SSA,True,True,True,15.0,True,0.6005864395637415,14,2.165234568230331,0.0,1.9205911922939034,0.033107236200328544,0.022026342161962864,24
INTERCEPT_0=False,africa,1-SSA,False,True,True,15.0,True,0.4011141592522035,13,3.732487774858558,0.38068437449607734,0.8751023530927848,0.07329895258195875,0.03724818183691227,24
INTERCEPT_0=False,amazon,1-SSA,False,True,True,15.0,True,0.5404627538871535,13,4.776778202463324,0.234356165347419,0.610983455254141,0.028754374385172737,0.014961253626722314,24
INTERCEPT_0=False,boreal_na_west,1-SSA,False,True,True,15.0,True,0.5815690409459314,13,3.6202075068791415,0.23249236891960973,0.629060470645642,0.036665849409362135,0.025661092673251007,24
INTERCEPT_0=False,indonesia_peatland,1-SSA,False,True,True,15.0,True,0.10255330473677449,14,19.91796704256248,0.8570941408576613,3.1075656466149235,0.033107236200328544,0.022026342161962864,24
POLDER_HOMOGENIZE=False,africa,1-SSA,True,False,True,15.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.0746835246682167,0.0384019919087939,24
POLDER_HOMOGENIZE=False,amazon,1-SSA,True,False,True,15.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.04182690382003784,0.016814155102413113,24
POLDER_HOMOGENIZE=False,boreal_na_west,1-SSA,True,False,True,15.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.03697197884321213,0.025967222107100996,24
POLDER_HOMOGENIZE=False,indonesia_peatland,1-SSA,True,False,True,15.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.016074163839221,0.005374284511498013,24
SSA_POLDER_HOMOGENIZE=False,africa,1-SSA,True,True,False,15.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.9628192399675466,0.07329895258195875,0.03724818183691227,24
SSA_POLDER_HOMOGENIZE=False,amazon,1-SSA,True,True,False,15.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.6905772662027373,0.028754374385172737,0.014961253626722314,24
SSA_POLDER_HOMOGENIZE=False,boreal_na_west,1-SSA,True,True,False,15.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.7432335680511637,0.036665849409362135,0.025661092673251007,24
SSA_POLDER_HOMOGENIZE=False,indonesia_peatland,1-SSA,True,True,False,15.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.510864232053574,0.033107236200328544,0.022026342161962864,24
LIFETIME_MAX=10.0,africa,1-SSA,True,True,True,10.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.07329895258195875,0.03724818183691227,24
LIFETIME_MAX=10.0,amazon,1-SSA,True,True,True,10.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.028754374385172737,0.014961253626722314,24
LIFETIME_MAX=10.0,boreal_na_west,1-SSA,True,True,True,10.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.036665849409362135,0.025661092673251007,24
LIFETIME_MAX=10.0,indonesia_peatland,1-SSA,True,True,True,10.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.033107236200328544,0.022026342161962864,24
LIFETIME_MAX=30.0,africa,1-SSA,True,True,True,30.0,True,0.8903669969620738,13,6.650839663490049,0.0,0.8809927589161803,0.07329895258195875,0.03724818183691227,24
LIFETIME_MAX=30.0,amazon,1-SSA,True,True,True,30.0,True,0.9115767151818962,13,6.934323006494334,0.0,0.5467399093236098,0.028754374385172737,0.014961253626722314,24
LIFETIME_MAX=30.0,boreal_na_west,1-SSA,True,True,True,30.0,True,0.8904457228561758,13,6.198233943649021,0.0,0.6789726457436494,0.036665849409362135,0.025661092673251007,24
LIFETIME_MAX=30.0,indonesia_peatland,1-SSA,True,True,True,30.0,True,0.6325571034037156,14,31.890711899996823,0.0,3.6032361272560713,0.033107236200328544,0.022026342161962864,24
LIFETIME_MAX=None,africa,1-SSA,True,True,True,,True,0.9105124596070454,17,7.306687973088641,0.0,0.9678686484186158,0.07329895258195875,0.03724818183691227,24
