config,mean_mac_r2,mean_AAOD_MAE,mean_mac_n,delta_mac_r2,delta_AAOD_MAE
baseline,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
MAC_X_COL=SSA,0.7801424269582662,0.02497421757471211,13.25,-0.05109420764269923,0.0
INTERCEPT_0=False,0.4064248147055157,0.02497421757471211,13.25,-0.4248118198954497,0.0
POLDER_HOMOGENIZE=False,0.8312366346009654,0.021639413407451506,13.25,0.0,-0.003334804167260605
SSA_POLDER_HOMOGENIZE=False,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
LIFETIME_MAX=10.0,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
LIFETIME_MAX=30.0,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
LIFETIME_MAX=None,0.7753072228237131,0.02497421757471211,17.0,-0.0559294117772523,0.0
INCLUDE_AMAZON_SOA=False,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
theory:1-SSA+INTERCEPT_0,0.8312366346009654,0.02497421757471211,13.25,0.0,0.0
